epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,729.207,0,257.571,0,0,0,0,0,0,639.002,0,1.71e-05,1.71e-05,1.71e-05
2,1460.06,0,156.912,0,0,0,0,0,0,179278,0,3.4454e-05,3.4454e-05,3.4454e-05
3,2229.06,0,123.71,0,0,0,0,0,0,209.704,0,5.10933e-05,5.10933e-05,5.10933e-05
4,2980.25,0,109.61,0,0,0,0,0,0,177.224,0,6.70177e-05,6.70177e-05,6.70177e-05
5,3699.48,0,98.4938,0,0,0,0,0,0,304.828,0,8.22274e-05,8.22274e-05,8.22274e-05
6,4423.83,0,88.8094,0,0,0,0,0,0,163.302,0,8.5595e-05,8.5595e-05,8.5595e-05
7,5148.93,0,79.492,0,0,0,0,0,0,143.888,0,8.3714e-05,8.3714e-05,8.3714e-05
8,5862.18,0,70.5225,0,0,0,0,0,0,128.936,0,8.1833e-05,8.1833e-05,8.1833e-05
9,6570.58,0,62.9977,0,0,0,0,0,0,915.914,0,7.9952e-05,7.9952e-05,7.9952e-05
10,7273.56,0,56.4706,0,0,0,0,0,0,106.313,0,7.8071e-05,7.8071e-05,7.8071e-05
11,7988.99,0,50.7443,0,0,0,0,0,0,324.797,0,7.619e-05,7.619e-05,7.619e-05
12,8709.81,0,45.7401,0,0,0,0,0,0,88.9545,0,7.4309e-05,7.4309e-05,7.4309e-05
13,9433.14,0,41.3561,0,0,0,0,0,0,73.6331,0,7.2428e-05,7.2428e-05,7.2428e-05
14,10140.9,0,37.7036,0,0,0,0,0,0,104.411,0,7.0547e-05,7.0547e-05,7.0547e-05
15,10872.1,0,34.1769,0,0,0,0,0,0,63.3642,0,6.8666e-05,6.8666e-05,6.8666e-05
16,11578.4,0,31.1927,0,0,0,0,0,0,57.8263,0,6.6785e-05,6.6785e-05,6.6785e-05
17,12294.7,0,28.6144,0,0,0,0,0,0,54.8106,0,6.4904e-05,6.4904e-05,6.4904e-05
18,13013,0,26.1347,0,0,0,0,0,0,173.059,0,6.3023e-05,6.3023e-05,6.3023e-05
19,13724.2,0,23.9739,0,0,0,0,0,0,49.6903,0,6.1142e-05,6.1142e-05,6.1142e-05
20,14434.8,0,22.024,0,0,0,0,0,0,39.5739,0,5.9261e-05,5.9261e-05,5.9261e-05
21,15138.7,0,20.2834,0,0,0,0,0,0,42.3272,0,5.738e-05,5.738e-05,5.738e-05
22,15845.6,0,18.7491,0,0,0,0,0,0,33.9941,0,5.5499e-05,5.5499e-05,5.5499e-05
23,16557.8,0,17.311,0,0,0,0,0,0,30.8385,0,5.3618e-05,5.3618e-05,5.3618e-05
24,17277.2,0,16.0535,0,0,0,0,0,0,28.9425,0,5.1737e-05,5.1737e-05,5.1737e-05
25,17985.2,0,14.9007,0,0,0,0,0,0,26.7117,0,4.9856e-05,4.9856e-05,4.9856e-05
26,18702.9,0,13.9098,0,0,0,0,0,0,24.9105,0,4.7975e-05,4.7975e-05,4.7975e-05
27,19415.9,0,12.9992,0,0,0,0,0,0,23.0369,0,4.6094e-05,4.6094e-05,4.6094e-05
28,20128.7,0,12.2243,0,0,0,0,0,0,21.3718,0,4.4213e-05,4.4213e-05,4.4213e-05
29,20832.4,0,11.4913,0,0,0,0,0,0,20.3953,0,4.2332e-05,4.2332e-05,4.2332e-05
30,21541.9,0,10.8383,0,0,0,0,0,0,19.1588,0,4.0451e-05,4.0451e-05,4.0451e-05
31,22251.1,0,10.2552,0,0,0,0,0,0,18.1948,0,3.857e-05,3.857e-05,3.857e-05
32,22961.8,0,9.70089,0,0,0,0,0,0,17.1425,0,3.6689e-05,3.6689e-05,3.6689e-05
33,23670.5,0,9.21769,0,0,0,0,0,0,16.2419,0,3.4808e-05,3.4808e-05,3.4808e-05
34,24393.2,0,8.76982,0,0,0,0,0,0,16.0289,0,3.2927e-05,3.2927e-05,3.2927e-05
35,25102.9,0,8.35613,0,0,0,0,0,0,14.6251,0,3.1046e-05,3.1046e-05,3.1046e-05
36,25819.1,0,7.98393,0,0,0,0,0,0,17.0581,0,2.9165e-05,2.9165e-05,2.9165e-05
37,26540.1,0,7.64154,0,0,0,0,0,0,15.2974,0,2.7284e-05,2.7284e-05,2.7284e-05
38,27264,0,7.34564,0,0,0,0,0,0,13.2591,0,2.5403e-05,2.5403e-05,2.5403e-05
39,27971.7,0,7.07571,0,0,0,0,0,0,13.1459,0,2.3522e-05,2.3522e-05,2.3522e-05
40,28690.9,0,6.83216,0,0,0,0,0,0,13.4279,0,2.1641e-05,2.1641e-05,2.1641e-05
41,29379.2,0,6.6465,0,0,0,0,0,0,11.67,0,1.976e-05,1.976e-05,1.976e-05
42,30085.3,0,6.45994,0,0,0,0,0,0,11.1487,0,1.7879e-05,1.7879e-05,1.7879e-05
43,30764.2,0,6.30232,0,0,0,0,0,0,10.7698,0,1.5998e-05,1.5998e-05,1.5998e-05
44,31432.7,0,6.16892,0,0,0,0,0,0,10.2967,0,1.4117e-05,1.4117e-05,1.4117e-05
45,32111.6,0,6.04783,0,0,0,0,0,0,10.1129,0,1.2236e-05,1.2236e-05,1.2236e-05
46,32793.4,0,5.9513,0,0,0,0,0,0,9.95744,0,1.0355e-05,1.0355e-05,1.0355e-05
47,33481.2,0,5.88275,0,0,0,0,0,0,9.8379,0,8.474e-06,8.474e-06,8.474e-06
48,34170.1,0,5.81561,0,0,0,0,0,0,9.7746,0,6.593e-06,6.593e-06,6.593e-06
49,34851.2,0,5.76652,0,0,0,0,0,0,9.74363,0,4.712e-06,4.712e-06,4.712e-06
50,35525.5,0,5.7485,0,0,0,0,0,0,9.73061,0,2.831e-06,2.831e-06,2.831e-06
